algorithm,k,fitness,fit_std,psnr,ssim,dice,iou,time
GA,2,9.614622279772068,7.947654722660265e-05,18.860259329044887,0.7714130528435698,0.664225760372452,0.5207753937912403,1.0056737393299935
GA,3,12.757816154362015,0.019452009960458067,22.023769754988223,0.8789721612499546,0.6500451272452189,0.4923644591760107,1.114022245956693
GA,4,15.89156133689616,0.020644209486152705,28.000902669718148,0.9710172119908892,0.6774296250311954,0.5204860303002667,1.2246288278000053
GA,5,18.835309777770014,0.002300950356032831,30.605461208071887,0.9867722435918178,0.635695275754506,0.4766236668799076,1.3301857574833489
GOA,2,9.578162636936288,0.034209458996537774,18.91380847867449,0.7738772387061782,0.6625844216303391,0.5203190757053744,0.8138394992117041
GOA,3,12.54764131244305,0.10442414342547109,23.089829809308437,0.8988492536813284,0.6456701505409423,0.49258854549480835,0.926505913178372
GOA,4,15.429550133308647,0.16274171965697837,27.706336143958993,0.9663245472406523,0.6341182884663004,0.4797325012968914,1.0267731102466773
GOA,5,18.17878912838014,0.21836665743292577,29.905627719920865,0.9839440164161397,0.6073989086405327,0.45318229711385555,1.1253657770349872
GWO,2,9.614666616057661,0.0,18.854738024437655,0.7710644445309095,0.6637300200316785,0.5201188499912331,0.8064696960799898
GWO,3,12.77006855671158,0.013712705323591945,23.11479254573966,0.903068891935898,0.6584215686038511,0.5049918801590707,0.9055924775766767
GWO,4,15.90403912404202,0.0028927664890252215,28.410826140321564,0.9773129958779625,0.6893052225457671,0.5339471591952354,0.9996314497366481
GWO,5,18.831089473400148,0.009097817890099636,30.68304647228639,0.9871066505042876,0.6369245571925465,0.4780165646135225,1.091112279643346
MPA,2,9.6146613292054,9.579813667507324e-06,18.85011968507778,0.7708796952491358,0.6637117022637439,0.5200947717072089,0.6566961250416736
MPA,3,12.773128228606751,0.0046922939546146705,23.449120256873222,0.9103299542850121,0.6633776615153926,0.5113077441622003,0.7567159829083547
MPA,4,15.90428192226326,0.0016866681592191926,28.48640035953275,0.9788587988275955,0.6909167336042449,0.5352566536473373,0.8550091654349957
MPA,5,18.83303442982329,0.00646073874206228,30.546790836285698,0.9861193807460866,0.633183811124067,0.47412208253516325,0.9452682407883174
PSO,2,9.614666616057661,0.0,18.854738024437655,0.7710644445309095,0.6637300200316785,0.5201188499912331,0.5838548223683107
PSO,3,12.760319928649567,0.015049425676804479,22.05197297795409,0.878815770127711,0.6489998972190442,0.49223932347735744,0.6824600971599982
PSO,4,15.892521349005102,0.032397496731577415,27.969430930892457,0.9703183004035077,0.6817386135725603,0.5255547517981725,0.7809405845233557
PSO,5,18.83576188110053,0.0017185972635549954,30.60110829668252,0.9864810005716166,0.6359564681169443,0.4769516136332076,0.8737576949866602
QIGOA,2,9.614666616057661,0.0,18.854738024437655,0.7710644445309095,0.6637300200316785,0.5201188499912331,0.9386746143666672
QIGOA,3,12.756927637130222,0.018224192970543646,21.83552028731959,0.8734381290230715,0.6485680587289411,0.4897645344911237,1.062414233514969
QIGOA,4,15.849070190101504,0.06624681853934133,26.760656727716025,0.9522667180347412,0.6594747511589707,0.5011895413554912,1.1693440654199878
QIGOA,5,18.824910056804764,0.024469465243366746,30.413291647822735,0.9843140376506947,0.6335514722153865,0.4745049052113487,1.2664745004849767
WOA,2,9.61463279612557,8.163232265050349e-05,18.849896589806903,0.7710331791898141,0.6637701820614417,0.5201683658250474,0.6687019485233152
WOA,3,12.76989070948743,0.014014517778912088,23.094977067169026,0.9026647273111834,0.6576651641780896,0.5046633030284757,0.7686415813449752
WOA,4,15.898169294494895,0.011218357281738,28.356879717872186,0.9768729118895456,0.6899042219350144,0.5345983967487923,0.861166206689953
WOA,5,18.819438510193102,0.02447955220391176,30.70826732936474,0.9873313632055165,0.6369792691087983,0.4777598799281531,0.9564679375716676
