phase,k,baseline,statistic,p_value,significant,win,tie,lose
A,2,GA,0.0,1.0,False,0,40,0
A,2,GOA,802.0,6.674337207142807e-08,True,32,8,0
A,2,GWO,0.0,1.0,False,0,40,0
A,2,MPA,0.0,1.0,False,0,40,0
A,2,PSO,0.0,1.0,False,0,40,0
A,2,WOA,0.0,1.0,False,0,40,0
A,3,GA,370.0,0.7231100156538317,False,1,36,3
A,3,GOA,820.0,9.094947017729282e-13,True,40,0,0
A,3,GWO,351.5,0.8089305671449253,False,0,37,3
A,3,MPA,370.0,0.7231100156538317,False,1,36,3
A,3,PSO,388.0,0.6266085092509279,False,2,35,3
A,3,WOA,351.5,0.8089305671449253,False,0,37,3
A,4,GA,390.0,0.6198158349723987,False,0,39,1
A,4,GOA,820.0,9.094947017729282e-13,True,40,0,0
A,4,GWO,390.0,0.6198158349723987,False,0,39,1
A,4,MPA,390.0,0.6198158349723987,False,0,39,1
A,4,PSO,430.5,0.379703254288097,False,2,37,1
A,4,WOA,390.0,0.6198158349723987,False,0,39,1
A,5,GA,0.0,1.0,False,0,40,0
A,5,GOA,820.0,9.094947017729282e-13,True,40,0,0
A,5,GWO,0.0,1.0,False,0,40,0
A,5,MPA,0.0,1.0,False,0,40,0
A,5,PSO,430.0,0.38018416502760133,False,1,39,0
A,5,WOA,522.5,0.050706346068759664,False,6,34,0
B,6,GA,354.0,0.7944293720558808,False,1,35,4
B,6,GOA,820.0,9.094947017729282e-13,True,40,0,0
B,6,GWO,384.0,0.6446296019433414,False,4,31,5
B,6,MPA,569.5,0.014548523712025028,True,15,21,4
B,6,PSO,374.0,0.6973416632856305,False,3,32,5
B,6,WOA,636.0,0.0010433445578131493,True,18,19,3
B,8,GA,467.0,0.21296612190901548,False,8,27,5
B,8,GOA,820.0,9.094947017729282e-13,True,40,0,0
B,8,GWO,519.5,0.0670531652232337,False,13,21,6
B,8,MPA,784.5,2.390453930216824e-07,True,33,5,2
B,8,PSO,264.0,0.9819495765889955,False,0,32,8
B,8,WOA,751.0,2.2808208829488666e-06,True,32,4,4
B,10,GA,660.0,0.0003890412924275654,True,29,3,8
B,10,GOA,820.0,9.094947017729282e-13,True,40,0,0
B,10,GWO,724.5,1.1826242217064709e-05,True,33,1,6
B,10,MPA,813.0,1.7280399333685637e-11,True,38,0,2
B,10,PSO,101.5,0.9999857657825221,False,1,17,22
B,10,WOA,735.0,6.251735521471523e-06,True,32,3,5
C,3,GA,370.0,0.7231100156538317,False,1,36,3
C,3,GOA,793.0,1.1468728189356625e-09,True,39,0,1
C,3,GWO,351.0,0.806732045021074,False,1,35,4
C,3,MPA,351.0,0.806732045021074,False,1,35,4
C,3,PSO,370.0,0.7231100156538317,False,1,36,3
C,3,WOA,333.0,0.8728158117360072,False,0,36,4
C,5,GA,370.5,0.7244072395743066,False,0,38,2
C,5,GOA,820.0,9.094947017729282e-13,True,40,0,0
C,5,GWO,370.5,0.7244072395743066,False,0,38,2
C,5,MPA,465.0,0.2097726457057129,False,4,35,1
C,5,PSO,370.5,0.7244072395743066,False,0,38,2
C,5,WOA,482.5,0.1455691451504071,False,5,34,1
C,8,GA,173.0,0.9993907934890015,False,2,20,18
C,8,GOA,820.0,9.094947017729282e-13,True,40,0,0
C,8,GWO,424.0,0.42532181350367954,False,18,7,15
C,8,MPA,724.5,1.1823734465646315e-05,True,33,2,5
C,8,PSO,115.5,0.9999720101095633,False,0,21,19
C,8,WOA,616.0,0.0028111529020304065,True,27,3,10
