# QIGOA reality-check | script=run_main_grid.py::summarise (A0 headline) | experiment=main | data_source=brats | commit=412869cbfcd80dfa595a9f647285228740884ef2 | generated=2026-07-21T09:22:32
# Provenance: numbers trace to this script + configs/*.yaml + the commit above (CLAUDE.md §5.3). Do not edit by hand.
target,include_zero_bg,k,decode_rule,n_groups,n_methods_compared,mask_identity_rate,distinct_masks_median,placeholder
et_t1ce,false,2,brightest,1840,9,0.11793478260869565,3.0,0
et_t1ce,false,2,morph,1840,9,0.11793478260869565,3.0,0
et_t1ce,false,2,otsu_pick,1840,9,0.22717391304347825,2.0,0
et_t1ce,false,2,upper_union,1840,9,0.22717391304347825,2.0,0
et_t1ce,false,3,brightest,1840,9,0.004891304347826087,4.0,0
et_t1ce,false,3,morph,1840,9,0.005434782608695652,4.0,0
et_t1ce,false,3,otsu_pick,1840,9,0.007608695652173913,4.0,0
et_t1ce,false,3,upper_union,1840,9,0.007608695652173913,4.0,0
et_t1ce,false,4,brightest,1840,9,0.0010869565217391304,5.0,0
et_t1ce,false,4,chanvese,368,9,0.07336956521739131,4.0,0
et_t1ce,false,4,kmeans,368,9,0.5842391304347826,1.0,0
et_t1ce,false,4,morph,1840,9,0.002173913043478261,5.0,0
et_t1ce,false,4,otsu_pick,1840,9,0.0005434782608695652,5.0,0
et_t1ce,false,4,upper_union,1840,9,0.0005434782608695652,5.0,0
et_t1ce,false,4,watershed,368,9,0.010869565217391304,5.0,0
et_t1ce,false,5,brightest,1840,9,0.0,5.0,0
et_t1ce,false,5,morph,1840,9,0.0,5.0,0
et_t1ce,false,5,otsu_pick,1840,9,0.0005434782608695652,6.0,0
et_t1ce,false,5,upper_union,1840,9,0.0,6.0,0
et_t1ce,false,6,brightest,1840,9,0.0,6.0,0
et_t1ce,false,6,morph,1840,9,0.0005434782608695652,6.0,0
et_t1ce,false,6,otsu_pick,1840,9,0.0,6.0,0
et_t1ce,false,6,upper_union,1840,9,0.0,6.0,0
et_t1ce,false,8,brightest,1840,9,0.0,7.0,0
et_t1ce,false,8,morph,1840,9,0.0,6.0,0
et_t1ce,false,8,otsu_pick,1840,9,0.0,7.0,0
et_t1ce,false,8,upper_union,1840,9,0.0,7.0,0
et_t1ce,false,10,brightest,1840,9,0.0,7.0,0
et_t1ce,false,10,morph,1840,9,0.002173913043478261,7.0,0
et_t1ce,false,10,otsu_pick,1840,9,0.0,8.0,0
et_t1ce,false,10,upper_union,1840,9,0.0,8.0,0
et_t1ce,true,2,brightest,1840,9,0.5635869565217392,1.0,0
et_t1ce,true,2,morph,1840,9,0.5641304347826087,1.0,0
et_t1ce,true,2,otsu_pick,1840,9,0.9195652173913044,1.0,0
et_t1ce,true,2,upper_union,1840,9,0.9195652173913044,1.0,0
et_t1ce,true,3,brightest,1840,9,0.049456521739130434,3.0,0
et_t1ce,true,3,morph,1840,9,0.050543478260869565,3.0,0
et_t1ce,true,3,otsu_pick,1840,9,0.09945652173913043,3.0,0
et_t1ce,true,3,upper_union,1840,9,0.09945652173913043,3.0,0
et_t1ce,true,4,brightest,1840,9,0.002173913043478261,4.0,0
et_t1ce,true,4,chanvese,368,9,0.1331521739130435,3.0,0
et_t1ce,true,4,kmeans,368,9,0.9510869565217391,1.0,0
et_t1ce,true,4,morph,1840,9,0.002173913043478261,4.0,0
et_t1ce,true,4,otsu_pick,1840,9,0.014673913043478261,4.0,0
et_t1ce,true,4,upper_union,1840,9,0.014673913043478261,4.0,0
et_t1ce,true,4,watershed,368,9,0.592391304347826,1.0,0
et_t1ce,true,5,brightest,1840,9,0.0,5.0,0
et_t1ce,true,5,morph,1840,9,0.0010869565217391304,5.0,0
et_t1ce,true,5,otsu_pick,1840,9,0.0005434782608695652,5.0,0
et_t1ce,true,5,upper_union,1840,9,0.0,5.0,0
et_t1ce,true,6,brightest,1840,9,0.0,5.0,0
et_t1ce,true,6,morph,1840,9,0.0005434782608695652,5.0,0
et_t1ce,true,6,otsu_pick,1840,9,0.0,6.0,0
et_t1ce,true,6,upper_union,1840,9,0.0,6.0,0
et_t1ce,true,8,brightest,1840,9,0.0,6.0,0
et_t1ce,true,8,morph,1840,9,0.0,6.0,0
et_t1ce,true,8,otsu_pick,1840,9,0.0005434782608695652,7.0,0
et_t1ce,true,8,upper_union,1840,9,0.0005434782608695652,7.0,0
et_t1ce,true,10,brightest,1840,9,0.0,7.0,0
et_t1ce,true,10,morph,1840,9,0.002173913043478261,7.0,0
et_t1ce,true,10,otsu_pick,1840,9,0.0,8.0,0
et_t1ce,true,10,upper_union,1840,9,0.0,8.0,0
wt_flair,false,2,brightest,1840,9,0.14021739130434782,2.0,0
wt_flair,false,2,morph,1840,9,0.14076086956521738,2.0,0
wt_flair,false,2,otsu_pick,1840,9,0.19456521739130433,2.0,0
wt_flair,false,2,upper_union,1840,9,0.19456521739130433,2.0,0
wt_flair,false,3,brightest,1840,9,0.010869565217391304,4.0,0
wt_flair,false,3,morph,1840,9,0.010869565217391304,4.0,0
wt_flair,false,3,otsu_pick,1840,9,0.020652173913043477,3.0,0
wt_flair,false,3,upper_union,1840,9,0.016304347826086956,3.0,0
wt_flair,false,4,brightest,1840,9,0.0016304347826086956,5.0,0
wt_flair,false,4,chanvese,368,9,0.01358695652173913,4.0,0
wt_flair,false,4,kmeans,368,9,0.5353260869565217,1.0,0
wt_flair,false,4,morph,1840,9,0.0016304347826086956,5.0,0
wt_flair,false,4,otsu_pick,1840,9,0.0016304347826086956,4.0,0
wt_flair,false,4,upper_union,1840,9,0.0016304347826086956,4.0,0
wt_flair,false,4,watershed,368,9,0.019021739130434784,5.0,0
wt_flair,false,5,brightest,1840,9,0.0,5.0,0
wt_flair,false,5,morph,1840,9,0.0,5.0,0
wt_flair,false,5,otsu_pick,1840,9,0.0,6.0,0
wt_flair,false,5,upper_union,1840,9,0.0,6.0,0
wt_flair,false,6,brightest,1840,9,0.0,6.0,0
wt_flair,false,6,morph,1840,9,0.0,6.0,0
wt_flair,false,6,otsu_pick,1840,9,0.0,6.0,0
wt_flair,false,6,upper_union,1840,9,0.0,6.0,0
wt_flair,false,8,brightest,1840,9,0.0005434782608695652,7.0,0
wt_flair,false,8,morph,1840,9,0.0005434782608695652,7.0,0
wt_flair,false,8,otsu_pick,1840,9,0.0,7.0,0
wt_flair,false,8,upper_union,1840,9,0.0,7.0,0
wt_flair,false,10,brightest,1840,9,0.0,7.0,0
wt_flair,false,10,morph,1840,9,0.0,7.0,0
wt_flair,false,10,otsu_pick,1840,9,0.0,8.0,0
wt_flair,false,10,upper_union,1840,9,0.0,8.0,0
wt_flair,true,2,brightest,1840,9,0.26358695652173914,2.0,0
wt_flair,true,2,morph,1840,9,0.26358695652173914,2.0,0
wt_flair,true,2,otsu_pick,1840,9,0.5869565217391305,1.0,0
wt_flair,true,2,upper_union,1840,9,0.5869565217391305,1.0,0
wt_flair,true,3,brightest,1840,9,0.03097826086956522,3.0,0
wt_flair,true,3,morph,1840,9,0.03097826086956522,3.0,0
wt_flair,true,3,otsu_pick,1840,9,0.042391304347826085,3.0,0
wt_flair,true,3,upper_union,1840,9,0.042391304347826085,3.0,0
wt_flair,true,4,brightest,1840,9,0.0010869565217391304,4.0,0
wt_flair,true,4,chanvese,368,9,0.016304347826086956,4.0,0
wt_flair,true,4,kmeans,368,9,0.8559782608695652,1.0,0
wt_flair,true,4,morph,1840,9,0.0010869565217391304,4.0,0
wt_flair,true,4,otsu_pick,1840,9,0.005978260869565218,4.0,0
wt_flair,true,4,upper_union,1840,9,0.005978260869565218,4.0,0
wt_flair,true,4,watershed,368,9,0.39402173913043476,2.0,0
wt_flair,true,5,brightest,1840,9,0.0,5.0,0
wt_flair,true,5,morph,1840,9,0.0,5.0,0
wt_flair,true,5,otsu_pick,1840,9,0.0010869565217391304,5.0,0
wt_flair,true,5,upper_union,1840,9,0.0,5.0,0
wt_flair,true,6,brightest,1840,9,0.0,6.0,0
wt_flair,true,6,morph,1840,9,0.0,6.0,0
wt_flair,true,6,otsu_pick,1840,9,0.0,6.0,0
wt_flair,true,6,upper_union,1840,9,0.0,6.0,0
wt_flair,true,8,brightest,1840,9,0.0,6.0,0
wt_flair,true,8,morph,1840,9,0.0,6.0,0
wt_flair,true,8,otsu_pick,1840,9,0.0,7.0,0
wt_flair,true,8,upper_union,1840,9,0.0,7.0,0
wt_flair,true,10,brightest,1840,9,0.0,7.0,0
wt_flair,true,10,morph,1840,9,0.0,7.0,0
wt_flair,true,10,otsu_pick,1840,9,0.0,8.0,0
wt_flair,true,10,upper_union,1840,9,0.0,8.0,0
