target,include_zero_bg,decode_rule,n,median_rho,mean_rho,ci_low,ci_high,frac_negative,p,success_orig_rule
et_t1ce,false,brightest,327,0.9910312089651149,0.8015880796419027,0.9910312089651149,0.9910312089651149,0.08868501529051988,1.4863338673967117e-50,False
et_t1ce,false,morph,285,-0.18531232916527532,-0.07606860573888179,-0.2909571869813232,0.01801874925391118,0.5543859649122806,0.06487358624482452,False
et_t1ce,false,otsu_pick,327,0.0,-0.05696366032406425,-0.03605433991789473,0.0363696483726654,0.47706422018348627,0.028780634115613393,False
et_t1ce,false,upper_union,327,0.2702812388086677,0.31296514662573977,0.25,0.2882999880625789,0.07339449541284404,4.3756102050231026e-45,False
et_t1ce,true,brightest,327,0.9910312089651149,0.8507964210075913,0.9910312089651149,1.0,0.05504587155963303,1.1900555384245256e-53,False
et_t1ce,true,morph,326,-0.12613124477737828,-0.05721387611730572,-0.25226248955475655,0.054056247761733546,0.5429447852760736,0.07447715829817766,False
et_t1ce,true,otsu_pick,327,0.44474958999666075,0.4631845399379604,0.4076871241636057,0.5345224838248489,0.05198776758409786,1.5163618856405603e-46,False
et_t1ce,true,upper_union,327,0.7142857142857144,0.6724472389802817,0.702731220902536,0.7500000000000002,0.0061162079510703364,5.042963776988587e-55,False
wt_flair,false,brightest,368,-0.22623081526841887,-0.07100168198264749,-0.43643578047198484,0.07142857142857144,0.529891304347826,0.1560933855634572,False
wt_flair,false,morph,368,-0.9367413055472485,-0.5483697112739534,-0.9549937104572925,-0.8778951371928088,0.8097826086956522,1.243218184753553e-36,True
wt_flair,false,otsu_pick,368,-0.027213157714206855,-0.048748489778759195,-0.09903348903726034,0.036203573440243886,0.5163043478260869,0.013364401825009455,False
wt_flair,false,upper_union,368,0.2882999880625789,0.34625667455533654,0.25226248955475655,0.3342545575745567,0.10869565217391304,2.0506727436950486e-48,False
wt_flair,true,brightest,368,0.3214285714285715,0.14751402452804668,0.045559356797394306,0.42857142857142866,0.4429347826086957,2.286197283705056e-06,False
wt_flair,true,morph,368,-0.21428571428571433,-0.18649216198998522,-0.23424374030084535,-0.16840826742715195,0.625,1.9104357875920013e-06,False
wt_flair,true,otsu_pick,368,0.3214285714285715,0.13657554711276457,0.2964997266644405,0.34235623582431246,0.32065217391304346,0.00013245460935969912,False
wt_flair,true,upper_union,368,0.62377944986408,0.4948800321949334,0.571380044523348,0.6923450994227358,0.08152173913043478,1.0578178900460012e-51,False
