# QIGOA reality-check | script=run_main_grid.py::summarise (A0 headline) | experiment=week1 | data_source=brats | commit=1461520d7785c65a06704e47ba229ddde0b2d9ff | generated=2026-07-17T17:11:44
# Provenance: numbers trace to this script + configs/*.yaml + the commit above (CLAUDE.md §5.3). Do not edit by hand.
target,include_zero_bg,k,decode_rule,n_groups,n_methods_compared,mask_identity_rate,distinct_masks_median,placeholder
et_t1ce,true,2,brightest,180,9,0.5333333333333333,1.0,0
et_t1ce,true,2,morph,180,9,0.5333333333333333,1.0,0
et_t1ce,true,2,otsu_pick,180,9,0.9277777777777778,1.0,0
et_t1ce,true,2,upper_union,180,9,0.9277777777777778,1.0,0
et_t1ce,true,3,brightest,180,9,0.027777777777777776,3.0,0
et_t1ce,true,3,morph,180,9,0.03333333333333333,3.0,0
et_t1ce,true,3,otsu_pick,180,9,0.12222222222222222,3.0,0
et_t1ce,true,3,upper_union,180,9,0.12222222222222222,3.0,0
et_t1ce,true,4,brightest,180,9,0.0,4.0,0
et_t1ce,true,4,chanvese,60,9,0.21666666666666667,3.0,0
et_t1ce,true,4,kmeans,60,9,0.9333333333333333,1.0,0
et_t1ce,true,4,morph,180,9,0.0,4.0,0
et_t1ce,true,4,otsu_pick,180,9,0.005555555555555556,4.0,0
et_t1ce,true,4,upper_union,180,9,0.005555555555555556,4.0,0
et_t1ce,true,4,watershed,60,9,0.5666666666666667,1.0,0
et_t1ce,true,5,brightest,180,9,0.0,5.0,0
et_t1ce,true,5,morph,180,9,0.0,5.0,0
et_t1ce,true,5,otsu_pick,180,9,0.0,5.0,0
et_t1ce,true,5,upper_union,180,9,0.0,5.0,0
et_t1ce,true,6,brightest,180,9,0.0,5.0,0
et_t1ce,true,6,morph,180,9,0.0,5.0,0
et_t1ce,true,6,otsu_pick,180,9,0.0,6.0,0
et_t1ce,true,6,upper_union,180,9,0.0,6.0,0
et_t1ce,true,8,brightest,180,9,0.0,6.0,0
et_t1ce,true,8,morph,180,9,0.0,6.0,0
et_t1ce,true,8,otsu_pick,180,9,0.0,7.0,0
et_t1ce,true,8,upper_union,180,9,0.0,7.0,0
et_t1ce,true,10,brightest,180,9,0.0,7.0,0
et_t1ce,true,10,morph,180,9,0.011111111111111112,7.0,0
et_t1ce,true,10,otsu_pick,180,9,0.0,8.0,0
et_t1ce,true,10,upper_union,180,9,0.0,8.0,0
wt_flair,true,2,brightest,180,9,0.16111111111111112,3.0,0
wt_flair,true,2,morph,180,9,0.16111111111111112,3.0,0
wt_flair,true,2,otsu_pick,180,9,0.39444444444444443,2.0,0
wt_flair,true,2,upper_union,180,9,0.39444444444444443,2.0,0
wt_flair,true,3,brightest,180,9,0.011111111111111112,3.0,0
wt_flair,true,3,morph,180,9,0.011111111111111112,3.0,0
wt_flair,true,3,otsu_pick,180,9,0.03333333333333333,3.0,0
wt_flair,true,3,upper_union,180,9,0.03333333333333333,3.0,0
wt_flair,true,4,brightest,180,9,0.0,5.0,0
wt_flair,true,4,chanvese,60,9,0.0,4.0,0
wt_flair,true,4,kmeans,60,9,0.8,1.0,0
wt_flair,true,4,morph,180,9,0.0,5.0,0
wt_flair,true,4,otsu_pick,180,9,0.027777777777777776,4.0,0
wt_flair,true,4,upper_union,180,9,0.027777777777777776,4.0,0
wt_flair,true,4,watershed,60,9,0.2833333333333333,2.0,0
wt_flair,true,5,brightest,180,9,0.0,6.0,0
wt_flair,true,5,morph,180,9,0.0,6.0,0
wt_flair,true,5,otsu_pick,180,9,0.0,5.0,0
wt_flair,true,5,upper_union,180,9,0.0,5.0,0
wt_flair,true,6,brightest,180,9,0.0,6.0,0
wt_flair,true,6,morph,180,9,0.0,6.0,0
wt_flair,true,6,otsu_pick,180,9,0.0,6.0,0
wt_flair,true,6,upper_union,180,9,0.0,6.0,0
wt_flair,true,8,brightest,180,9,0.0,6.0,0
wt_flair,true,8,morph,180,9,0.0,6.0,0
wt_flair,true,8,otsu_pick,180,9,0.0,7.0,0
wt_flair,true,8,upper_union,180,9,0.0,7.0,0
wt_flair,true,10,brightest,180,9,0.0,7.0,0
wt_flair,true,10,morph,180,9,0.0,7.0,0
wt_flair,true,10,otsu_pick,180,9,0.0,7.0,0
wt_flair,true,10,upper_union,180,9,0.0,8.0,0
